title,description
Kelly McParland: Singh pays the price for protecting Trudeau,NDP is cratering in the polls
Michael Higgins: Liberal caucus submits to Carney as it did to Trudeau,MPs too afraid to adopt Reform Act rules
Justin Trudeau & Katy Perry canoodled on a yacht off the Santa Barbara coast,"Celebitchy is a daily gossip and entertainment blog, started in 2006, which also focuses on liberal politics, royal coverage and fashion."
"Justin Trudeau dresses as Katy Perry’s ‘Left Shark’ for Halloween, sparking romance buzz","Canadian Prime Minister Justin Trudeau sparked romance rumors with pop star Katy Perry by dressing as her iconic \""Left Shark\"" for Halloween. This play"
Katy Perry Breaks Her Silence On Justin Trudeau Romance Following His Ex-Wife’s Cryptic Message,Sources said Justin Trudeau didn’t stop “pursuing” Katy Perry even though she wasn’t looking to date at the time. She was “navigating too many things....
Katy Perry and Justin Trudeau Spark Dating Rumors With Montreal Dinner—Here’s What Really Happened,The chef who served Katy Perry and Justin Trudeau detailed how they were as guests—and whether they showed any PDA amid dating rumors.
What the future might hold for PM Justin Trudeau and the Liberals,"The Liberal government was thrown into disarray this week when Chrystia Freeland stepped down from cabinet as finance minister, reviving calls for Prime Ministe..."
'One Regret': Justin Trudeau Talks About His Political Journey During His Resignation Speech - VIDEO,Justin Trudeau on Monday resigned as the Prime Minister of Canada and also as leader of the Liberal Party after serving for almost nine years. During a press co...
Watch: Trudeau gets emotional at one of his final press conferences,The Canadian prime minister welled up during one of his final press conferences as leader of the country.
Trudeau says abandoning electoral reform is his biggest regret. Here's how it happened,"After announcing he would be resigning as prime minister, Justin Trudeau said one of his biggest regrets was not bringing in a ranked ballot system for federal ..."
Justin Trudeau,"Justin Trudeau and Katy Perry have cooled off after their dinner date due to Justin not being ""thrilled"" about the fallout."
'So proud': Trudeau posts farewell video to Canadians on his last day in office,"Trudeau said his only wish is that, no matter what the world throws at Canadians, they will ""always be the same."""
Yukon MP joins chorus of Liberals calling on Trudeau to resign,Yukon MP Brendan Hanley is joining more than a dozen of his Liberal caucus colleagues who say Prime Minister Justin Trudeau should step down.
"""Neighbour Helping Neighbor"": Trudeau Sends Aid To Fight Los Angeles Fire",Canadian Prime Minister Justin Trudeau has sent firefighting resources to California as the state grapples with devastating wildfires. This comes despite the on...
"Katy Perry & Justin Trudeau Pose in a Toy Store, but It’s Fake","Katy Perry and Justin Trudeau pose in a toy store together, but there's a catch as the latter was photoshopped into the photo."
Katy Perry Believes She Met Justin Trudeau in Past Life — Source,"Katy Perry’s new romance with Justin Trudeau has been making headlines, and Perry believes there's a spiritual connection between them."
"BREAKING: Trudeau meeting with Trump, cabinet nominees at Mar-a-Lago",Trump has threatened to impose a 25-per-cent tariff on goods entering from Canada and Mexico unless his concerns about border security are fixed.
Katy Perry and Justin Trudeau finally confirm their relationship as they hold hands in Paris,Katy Perry and Justin Trudeau finally confirmed their relationship as they held hands on a date night in Paris.
Justin Trudeau won’t run for re-election as MP in next federal election,"Justin Trudeau has held the seat of Papineau since 2008 and was named leader of the Liberal Party in 2013, before becoming prime minister in 2015."
BREAKING: Canadian PM Justin Trudeau Resigns Ahead Of General Elections As Discontent Grows,Justin Trudeau will serve as interim PM until a new leader of the Liberal Party is chosen.
Canada: Justin Trudeau Is In A Mess Of His Own Making,"In a faux pas and an ill-timed decision, Canadian Prime Minister Justin Trudeaus move to shuffle Chrystia Freeland out of her Finance Minister role has resulted..."
Trudeau says Trump talk of annexing Canada is a distraction tactic,Canadian Prime Minister Justin Trudeau responds to U.S. President-elect Donald Trump's annexation talk as a distraction from tariffs.
